code,current,name,gender,function,country_code,country_long,nationality,nationality_code,disciplines,events,birth_date
1931500,TRUE,YOUSRI Akram,Male,Athlete,EGY,Egypt,Egypt,EGY,['Handball'],['Men'],22-11-1994
1931570,TRUE,ABDULLIN Ilfat,Male,Athlete,KAZ,Kazakhstan,Kazakhstan,KAZ,['Archery'],"[""Men's Individual"", ""Men's Team""]",09-01-1998
1931572,TRUE,ZHANGBYRBAY Dauletkeldi,Male,Athlete,KAZ,Kazakhstan,Kazakhstan,KAZ,['Archery'],"[""Men's Individual"", ""Men's Team""]",02-06-2004
1931573,TRUE,MAIMURATOV Amir,Male,Athlete,KAZ,Kazakhstan,Kazakhstan,KAZ,['Sport Climbing'],"[""Men's Speed""]",19-07-1995
1931576,TRUE,KARIMI Milad,Male,Athlete,KAZ,Kazakhstan,Kazakhstan,KAZ,['Artistic Gymnastics'],"['Men', ""Men's All-Around"", ""Men's Floor Exercise"", ""Men's Horizontal Bar"", ""Men's Parallel Bars"", ""Men's Pommel Horse"", ""Men's Rings"", ""Men's Vault""]",21-06-1999
1931577,TRUE,KURBANOV Nariman,Male,Athlete,KAZ,Kazakhstan,Kazakhstan,KAZ,['Artistic Gymnastics'],"['Men', ""Men's Pommel Horse""]",06-12-1997
1931583,TRUE,POTAPENKO Yelena,Female,Athlete,KAZ,Kazakhstan,Kazakhstan,KAZ,['Modern Pentathlon'],"[""Women's Individual""]",20-04-1993
1931584,TRUE,ABUSAL Wasim,Male,Athlete,PLE,Palestine,Palestine,PLE,['Boxing'],"[""Men's 57kg""]",14-06-2004
1931588,TRUE,BORODA-DUDOCHKIN Georgiy,Male,Athlete,KAZ,Kazakhstan,Kazakhstan,KAZ,['Modern Pentathlon'],"[""Men's Individual""]",16-11-2001
1931815,TRUE,SWIATEK Iga,Female,Athlete,POL,Poland,Poland,POL,['Tennis'],"[""Women's Singles""]",31-05-2001
1931818,TRUE,ELMASRY Ibrahim,Male,Athlete,EGY,Egypt,Egypt,EGY,['Handball'],['Men'],11-03-1989
1931829,TRUE,HENDAWY Karim,Male,Athlete,EGY,Egypt,Egypt,EGY,['Handball'],['Men'],01-05-1988
1931832,TRUE,FRECH Magdalena,Female,Athlete,POL,Poland,Poland,POL,['Tennis'],"[""Women's Singles""]",15-12-1997
1931894,TRUE,LYNCH Finn,Male,Athlete,IRL,Ireland,Ireland,IRL,['Sailing'],"[""Men's Dinghy""]",23-04-1996
1931914,TRUE,LINETTE Magda,Female,Athlete,POL,Poland,Poland,POL,['Tennis'],"[""Women's Doubles"", ""Women's Singles""]",12-02-1992
1931916,TRUE,ABDELHAK Mohab,Male,Athlete,EGY,Egypt,Egypt,EGY,['Handball'],['Men'],20-01-2003
1931934,TRUE,BARWINSKA Agata,Female,Athlete,POL,Poland,Poland,POL,['Sailing'],"[""Women's Dinghy""]",27-07-1995
1932027,TRUE,YANG Amy,Female,Athlete,KOR,Republic of Korea,Korea,KOR,['Golf'],"[""Women's Individual Stroke Play""]",28-07-1989
1932109,TRUE,ALY Mohamed,Male,Athlete,EGY,Egypt,Egypt,EGY,['Handball'],['Men'],13-11-1992
1932124,TRUE,COMERFORD Niall,Male,Athlete,IRL,Ireland,Ireland,IRL,['Rugby Sevens'],['Men'],06-04-2000
1932149,TRUE,YASER ISMAIL Omar,Male,Athlete,PLE,Palestine,Palestine,PLE,['Taekwondo'],['Men -58kg'],03-11-2005
1932150,TRUE,RODRIGUEZ Pedro,Male,Athlete,HUN,Hungary,Hungary,HUN,['Handball'],['Men'],22-08-1990
1932154,TRUE,MIKLER Roland,Male,Athlete,HUN,Hungary,Hungary,HUN,['Handball'],['Men'],20-09-1984
1932160,TRUE,VINESH Vinesh,Female,Athlete,IND,India,India,IND,['Wrestling'],"[""Women's Freestyle 50kg""]",25-08-1994
1932161,TRUE,BODO Richard,Male,Athlete,HUN,Hungary,Hungary,HUN,['Handball'],['Men'],13-03-1993
1932168,TRUE,IMRE Bence,Male,Athlete,HUN,Hungary,Hungary,HUN,['Handball'],['Men'],15-10-2002
1932173,TRUE,ROSOLSKA Alicja,Female,Athlete,POL,Poland,Poland,POL,['Tennis'],"[""Women's Doubles""]",01-12-1985
1932182,TRUE,SANAD Mohammad,Male,Athlete,EGY,Egypt,Egypt,EGY,['Handball'],['Men'],16-01-1991
1932186,TRUE,ILIC Zoran,Male,Athlete,HUN,Hungary,Hungary,HUN,['Handball'],['Men'],02-01-2002
1932194,TRUE,LIGETVARI Patrik,Male,Athlete,HUN,Hungary,Hungary,HUN,['Handball'],['Men'],13-02-1996
1932219,TRUE,BARTUCZ Laszlo,Male,Athlete,HUN,Hungary,Hungary,HUN,['Handball'],['Men'],05-11-1991
1932221,TRUE,TAREK Mohamed,Male,Athlete,EGY,Egypt,Egypt,EGY,['Handball'],['Men'],15-01-2002
1932223,TRUE,SIPOS Adrian,Male,Athlete,HUN,Hungary,Hungary,HUN,['Handball'],['Men'],08-03-1990
